省市別,縣市別,選區別,鄉鎮市區,村里別,投開票所,候選人號次,得票數,得票率,當選註記
63,000,01,020,0004,1319,1,34,4.49, 
63,000,01,020,0004,1319,2,330,43.54, 
63,000,01,020,0004,1319,3,394,51.98,*
63,000,01,020,0004,1320,1,31,4.19, 
63,000,01,020,0004,1320,2,365,49.39, 
63,000,01,020,0004,1320,3,343,46.41,*
63,000,01,020,0005,1321,1,31,4.38, 
63,000,01,020,0005,1321,2,392,55.45, 
63,000,01,020,0005,1321,3,284,40.17,*
63,000,01,020,0005,1322,1,18,2.71, 
63,000,01,020,0005,1322,2,313,47.21, 
63,000,01,020,0005,1322,3,332,50.08,*
63,000,01,020,0005,1323,1,31,4.37, 
63,000,01,020,0005,1323,2,344,48.45, 
63,000,01,020,0005,1323,3,335,47.18,*
63,000,01,020,0006,1324,1,61,7.43, 
63,000,01,020,0006,1324,2,414,50.43, 
63,000,01,020,0006,1324,3,346,42.14,*
63,000,01,020,0006,1325,1,48,4.94, 
63,000,01,020,0006,1325,2,436,44.9, 
63,000,01,020,0006,1325,3,487,50.15,*
63,000,01,020,0006,1326,1,36,4.18, 
63,000,01,020,0006,1326,2,343,39.79, 
63,000,01,020,0006,1326,3,483,56.03,*
63,000,01,020,0006,1327,1,44,4.29, 
63,000,01,020,0006,1327,2,440,42.93, 
63,000,01,020,0006,1327,3,541,52.78,*
63,000,01,020,0007,1328,1,34,4.63, 
63,000,01,020,0007,1328,2,339,46.19, 
63,000,01,020,0007,1328,3,361,49.18,*
63,000,01,020,0007,1329,1,29,3.84, 
63,000,01,020,0007,1329,2,348,46.09, 
63,000,01,020,0007,1329,3,378,50.07,*
63,000,01,020,0007,1330,1,37,4.33, 
63,000,01,020,0007,1330,2,360,42.11, 
63,000,01,020,0007,1330,3,458,53.57,*
63,000,01,020,0007,1331,1,47,4.89, 
63,000,01,020,0007,1331,2,404,42.0, 
63,000,01,020,0007,1331,3,511,53.12,*
63,000,01,020,0008,1332,1,37,4.21, 
63,000,01,020,0008,1332,2,414,47.1, 
63,000,01,020,0008,1332,3,428,48.69,*
63,000,01,020,0008,1333,1,25,3.14, 
63,000,01,020,0008,1333,2,367,46.05, 
63,000,01,020,0008,1333,3,405,50.82,*
63,000,01,020,0008,1334,1,32,4.09, 
63,000,01,020,0008,1334,2,365,46.62, 
63,000,01,020,0008,1334,3,386,49.3,*
63,000,01,020,0008,1335,1,41,4.9, 
63,000,01,020,0008,1335,2,401,47.97, 
63,000,01,020,0008,1335,3,394,47.13,*
63,000,01,020,0008,1336,1,36,4.59, 
63,000,01,020,0008,1336,2,372,47.39, 
63,000,01,020,0008,1336,3,377,48.03,*
63,000,01,020,0008,1337,1,27,3.57, 
63,000,01,020,0008,1337,2,311,41.14, 
63,000,01,020,0008,1337,3,418,55.29,*
63,000,01,020,0009,1338,1,41,3.86, 
63,000,01,020,0009,1338,2,421,39.6, 
63,000,01,020,0009,1338,3,601,56.54,*
63,000,01,020,0009,1339,1,40,4.24, 
63,000,01,020,0009,1339,2,415,44.01, 
63,000,01,020,0009,1339,3,488,51.75,*
63,000,01,020,0009,1340,1,37,4.51, 
63,000,01,020,0009,1340,2,364,44.39, 
63,000,01,020,0009,1340,3,419,51.1,*
63,000,01,020,0009,1341,1,32,4.23, 
63,000,01,020,0009,1341,2,369,48.81, 
63,000,01,020,0009,1341,3,355,46.96,*
63,000,01,020,0009,1342,1,36,4.18, 
63,000,01,020,0009,1342,2,420,48.78, 
63,000,01,020,0009,1342,3,405,47.04,*
63,000,01,020,0009,1343,1,51,5.61, 
63,000,01,020,0009,1343,2,436,47.96, 
63,000,01,020,0009,1343,3,422,46.42,*
63,000,01,020,0009,1344,1,39,3.95, 
63,000,01,020,0009,1344,2,465,47.06, 
63,000,01,020,0009,1344,3,484,48.99,*
63,000,01,020,0010,1345,1,42,4.98, 
63,000,01,020,0010,1345,2,319,37.84, 
63,000,01,020,0010,1345,3,482,57.18,*
63,000,01,020,0010,1346,1,34,4.88, 
63,000,01,020,0010,1346,2,268,38.45, 
63,000,01,020,0010,1346,3,395,56.67,*
63,000,01,020,0010,1347,1,24,2.92, 
63,000,01,020,0010,1347,2,305,37.06, 
63,000,01,020,0010,1347,3,494,60.02,*
63,000,01,020,0011,1348,1,29,3.55, 
